column,dataset/file,detection_reason,evidence,status,action,removed_from_model_inputs,manual_review_required
From_End_Balance,prepared_data/transactions_master.csv.gz,post-transaction balance unavailable before transaction completion,column name/schema inspection,post_transaction,removed from model inputs,True,False
To_End_Balance,prepared_data/transactions_master.csv.gz,post-transaction balance unavailable before transaction completion,column name/schema inspection,post_transaction,removed from model inputs,True,False
transaction_type_raw,prepared_data/transactions_master.csv.gz,raw category contains Money Laundering,column name/schema inspection,confirmed_leakage,replaced by transaction_type_model_safe,True,False
laundering_type,prepared_data/transactions_master.csv.gz,confirmed leakage column; name contains target-revealing term,column name/schema inspection,confirmed_leakage,removed from model inputs; y kept only in ground_truth,True,False
y,prepared_data/transactions_master.csv.gz,confirmed leakage column,column name/schema inspection,confirmed_leakage,removed from model inputs; y kept only in ground_truth,True,False
Is_Cheque_Fraud,prepared_data/transactions_master.csv.gz,confirmed leakage column; name contains target-revealing term,column name/schema inspection,confirmed_leakage,removed from model inputs; y kept only in ground_truth,True,False
Is_APP_Fraud,prepared_data/transactions_master.csv.gz,confirmed leakage column; name contains target-revealing term,column name/schema inspection,confirmed_leakage,removed from model inputs; y kept only in ground_truth,True,False
Cheque_Fraudster_ID,prepared_data/transactions_master.csv.gz,confirmed leakage column; name contains target-revealing term,column name/schema inspection,confirmed_leakage,removed from model inputs; y kept only in ground_truth,True,False
APP_Fraudster_ID,prepared_data/transactions_master.csv.gz,confirmed leakage column; name contains target-revealing term,column name/schema inspection,confirmed_leakage,removed from model inputs; y kept only in ground_truth,True,False
APP_Fraud_Sequence_Number,prepared_data/transactions_master.csv.gz,confirmed leakage column; name contains target-revealing term,column name/schema inspection,confirmed_leakage,removed from model inputs; y kept only in ground_truth,True,False
edge_label,prepared_data/transactions_master.csv.gz,confirmed leakage column; name contains target-revealing term,column name/schema inspection,confirmed_leakage,removed from model inputs; y kept only in ground_truth,True,False
split,prepared_data/transactions_master.csv.gz,temporal split marker is not a model feature,column name/schema inspection,non_feature,kept only in ground_truth/reports where useful,False,False
Financial_Institution_ID,prepared_data/accounts_clean.csv.gz,high-cardinality identifier or original account identifier,column name/schema inspection,non_feature_identifier,excluded from model feature lists,False,False
Branch,prepared_data/accounts_clean.csv.gz,high-cardinality identifier or original account identifier,column name/schema inspection,non_feature_identifier,excluded from model feature lists,False,False
Entity_ID,prepared_data/accounts_clean.csv.gz,high-cardinality identifier or original account identifier,column name/schema inspection,non_feature_identifier,excluded from model feature lists,False,False
Entity_Name,prepared_data/accounts_clean.csv.gz,high-cardinality identifier or original account identifier,column name/schema inspection,non_feature_identifier,excluded from model feature lists,False,False
Controlled_by_Criminal,prepared_data/accounts_clean.csv.gz,account attribute directly identifies criminal control,column name/schema inspection,confirmed_leakage,removed from node features,True,False
Account_ID,prepared_data/accounts_clean.csv.gz,high-cardinality identifier or original account identifier,column name/schema inspection,non_feature_identifier,excluded from model feature lists,False,False
